Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
momma,momma,8.08,Noun,5,4,2,momma,1.58,1.00,1.58,1.00,,,,
mama,mama,103.71,Noun,4,4,2,mama,1.89,1.00,1.89,1.00,,,,
bantling,bantling,#N/A,#N/A,8,8,3,bantling,2.00,0.05,2.00,0.05,,,,
mom,mom,430.39,Noun,3,3,1,mom,2.22,1.00,2.22,1.00,,,,
potty,potty,1.69,Noun,5,4,2,potty,2.28,1.00,2.28,1.00,,,,3.95
yes,yes,1996.76,Interjection,3,3,1,yes,2.31,1.00,2.31,1.00,3.69,,2.47,
water,water,225.06,Noun,5,4,2,water,2.37,1.00,2.37,1.00,3.83,3.31,,3.69
ouch,ouch,10.96,Interjection,4,2,1,ouch,2.42,1.00,2.42,1.00,,,3.31,
wet,wet,39.22,Adjective,3,3,1,wet,2.47,1.00,2.47,1.00,,,3.75,
mommy,mommy,70.92,Noun,5,4,2,mommy,2.50,1.00,2.50,1.00,,,,2.87
spoon,spoon,7.61,Noun,5,4,1,spoon,2.50,1.00,2.50,1.00,,3.94,3.75,
nap,nap,12.65,Noun,3,3,1,nap,2.53,1.00,2.53,1.00,,,3.63,
daddy,daddy,185.08,Noun,5,4,2,daddy,2.56,1.00,2.56,1.00,,,,3.23
dad,dad,507.25,Noun,3,3,1,dad,2.58,1.00,2.58,1.00,,2.79,1.98,
grandma,grandma,45.59,Noun,7,5,2,grandma,2.58,1.00,2.58,1.00,,,,
hug,hug,19.33,Noun,3,3,1,hug,2.58,1.00,2.58,1.00,4.71,,3.75,
shoe,shoe,30.39,Noun,4,2,1,shoe,2.60,1.00,2.60,1.00,,3.29,3.72,
count,count,89.96,Verb,5,4,1,count,2.61,1.00,2.61,1.00,,4.58,4.86,
mother,mother,479.92,Noun,6,4,2,mother,2.63,1.00,2.63,1.00,,3.14,,3.45
my,my,6762.73,Pronoun,2,2,1,my,2.72,1.00,2.72,1.00,3.94,,2.92,
no,no,5971.55,Interjection,2,2,1,no,2.72,1.00,2.72,1.00,3.15,,2.04,
happy,happy,333.20,Adjective,5,4,2,happy,2.72,1.00,2.72,1.00,4.90,,,4.28
carrot,carrot,3.82,Noun,6,5,2,carrot,2.74,1.00,2.74,1.00,,,,4.14
hand,hand,279.65,Noun,4,4,1,hand,2.74,1.00,2.74,1.00,,,3.38,
cry,cry,65.65,Verb,3,3,1,cry,2.78,1.00,2.78,1.00,3.57,,3.32,
eat,eat,251.88,Verb,3,2,1,eat,2.78,1.00,2.78,1.00,3.67,,3.31,
snack,snack,9.14,Noun,5,4,1,snack,2.78,1.00,2.78,1.00,,,3.47,
bad,bad,545.18,Adjective,3,3,1,bad,2.79,1.00,2.79,1.00,3.65,,2.61,
sleep,sleep,227.94,Verb,5,4,1,sleep,2.79,1.00,2.79,1.00,3.99,,3.47,
I,I,39971.16,Pronoun,1,1,1,I,2.79,1.00,2.79,1.00,3.69,,,
dog,dog,192.84,Noun,3,3,1,dog,2.80,1.00,2.80,1.00,,3.62,3.37,
jump,jump,69.82,Verb,4,4,1,jump,2.84,1.00,2.84,1.00,,4.62,4.47,
birthday,birthday,97.22,Noun,8,5,2,birthday,2.85,1.00,2.85,1.00,,,,3.49
animal,animal,45.49,Noun,6,6,3,animal,2.89,1.00,2.89,1.00,,4.62,,
ask,ask,483.14,Verb,3,3,1,ask,2.89,1.00,2.89,1.00,4.02,,4.02,
bed,bed,187.12,Noun,3,3,1,bed,2.89,1.00,2.89,1.00,,3.62,2.86,
big,big,682.82,Adjective,3,3,1,big,2.89,1.00,2.89,1.00,3.52,,3.24,
stop,stop,707.27,Verb,4,4,1,stop,2.89,1.00,2.89,1.00,4.68,,3.40,
a,a,20415.27,Article,1,1,1,a,2.89,1.00,2.89,1.00,3.16,,,
ball,ball,104.96,Noun,4,3,1,ball,2.90,1.00,2.90,1.00,,3.26,3.25,
up,up,3670.00,Adverb,2,2,1,up,2.92,1.00,2.92,1.00,3.94,,3.11,
sock,sock,8.98,Noun,4,3,1,sock,2.94,1.00,2.94,1.00,,3.67,3.69,
nose,nose,69.75,Noun,4,3,1,nose,2.95,1.00,2.95,1.00,,4.31,3.45,
bathroom,bathroom,61.67,Noun,8,6,2,bathroom,3.00,1.00,3.00,1.00,,,,3.95
leg,leg,56.51,Noun,3,3,1,leg,3.00,1.00,3.00,1.00,3.64,,3.25,
neck,neck,59.51,Noun,4,3,1,neck,3.00,1.00,3.00,1.00,,4.64,3.88,
toe,toe,12.69,Noun,3,2,1,toe,3.00,1.00,3.00,1.00,,4.09,3.43,
toy,toy,16.84,Noun,3,2,1,toy,3.00,1.00,3.00,1.00,,3.52,2.92,
door,door,292.06,Noun,4,3,1,door,3.05,1.00,3.05,1.00,,4.47,,
fly,fly,85.00,Verb,3,3,1,fly,3.05,1.00,3.05,1.00,4.09,,4.27,
papa,papa,42.59,Noun,4,4,2,papa,3.05,1.00,3.05,1.00,,,,
grandpa,grandpa,32.57,Noun,7,7,2,grandpa,3.06,1.00,3.06,1.00,,,,
see,see,2556.73,Verb,3,2,1,see,3.06,1.00,3.06,1.00,4.62,,3.50,
cartoon,cartoon,3.76,Noun,7,6,2,cartoon,3.11,1.00,3.11,1.00,,,,4.00
clothes,clothes,101.14,Noun,7,5,1,clothes,3.11,1.00,3.11,1.00,,4.09,4.27,
flower,flower,22.76,Noun,6,4,2,flower,3.11,1.00,3.11,1.00,3.86,,,4.33
grandmamma,grandmamma,0.20,Noun,10,9,3,grandmamma,3.11,1.00,3.11,1.00,,,,
man,man,1845.75,Noun,3,3,1,man,3.11,1.00,3.11,1.00,3.78,,3.63,
lap,lap,13.47,Noun,3,3,1,lap,3.15,1.00,3.15,1.00,,5.39,4.99,
house,house,514.00,Noun,5,3,1,house,3.16,1.00,3.16,1.00,3.94,,,
