Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock,mid_level_category
momma,momma,8.08,Noun,5,4,2,momma,1.58,1.0,1.58,1.0,,,,,person
mama,mama,103.71,Noun,4,4,2,mama,1.89,1.0,1.89,1.0,,,,,cognition
bantling,bantling,,,8,8,3,bantling,2.0,0.05,2.0,0.05,,,,,
mom,mom,430.39,Noun,3,3,1,mom,2.22,1.0,2.22,1.0,,,,,person
potty,potty,1.69,Noun,5,4,2,potty,2.28,1.0,2.28,1.0,,,,3.95,container
yes,yes,1996.76,Interjection,3,3,1,yes,2.31,1.0,2.31,1.0,3.69,,2.47,,Interjection
water,water,225.06,Noun,5,4,2,water,2.37,1.0,2.37,1.0,3.83,3.31,,3.69,body_of_water
ouch,ouch,10.96,Interjection,4,2,1,ouch,2.42,1.0,2.42,1.0,,,3.31,,Interjection
wet,wet,39.22,Adjective,3,3,1,wet,2.47,1.0,2.47,1.0,,,3.75,,quality
mommy,mommy,70.92,Noun,5,4,2,mommy,2.5,1.0,2.5,1.0,,,,2.87,person
spoon,spoon,7.61,Noun,5,4,1,spoon,2.5,1.0,2.5,1.0,,3.94,3.75,,container
nap,nap,12.65,Noun,3,3,1,nap,2.53,1.0,2.53,1.0,,,3.63,,time_period
daddy,daddy,185.08,Noun,5,4,2,daddy,2.56,1.0,2.56,1.0,,,,3.23,person
dad,dad,507.25,Noun,3,3,1,dad,2.58,1.0,2.58,1.0,,2.79,1.98,,person
grandma,grandma,45.59,Noun,7,5,2,grandma,2.58,1.0,2.58,1.0,,,,,person
hug,hug,19.33,Noun,3,3,1,hug,2.58,1.0,2.58,1.0,4.71,,3.75,,event_other
shoe,shoe,30.39,Noun,4,2,1,shoe,2.6,1.0,2.6,1.0,,3.29,3.72,,footwear
count,count,89.96,Verb,5,4,1,count,2.61,1.0,2.61,1.0,,4.58,4.86,,communication
mother,mother,479.92,Noun,6,4,2,mother,2.63,1.0,2.63,1.0,,3.14,,3.45,substance_other
my,my,6762.73,Pronoun,2,2,1,my,2.72,1.0,2.72,1.0,3.94,,2.92,,Pronoun
no,no,5971.55,Interjection,2,2,1,no,2.72,1.0,2.72,1.0,3.15,,2.04,,Interjection
happy,happy,333.2,Adjective,5,4,2,happy,2.72,1.0,2.72,1.0,4.9,,,4.28,quality
carrot,carrot,3.82,Noun,6,5,2,carrot,2.74,1.0,2.74,1.0,,,,4.14,vegetable
hand,hand,279.65,Noun,4,4,1,hand,2.74,1.0,2.74,1.0,,,3.38,,communication_written
cry,cry,65.65,Verb,3,3,1,cry,2.78,1.0,2.78,1.0,3.57,,3.32,,communication
eat,eat,251.88,Verb,3,2,1,eat,2.78,1.0,2.78,1.0,3.67,,3.31,,consumption
