"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2023-11-30,"English (American)","WG","WG",133822,30727,7,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133820,30725,8,"comprehension",3,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133821,30726,8,"comprehension",81,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",133828,30733,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193364,82603,8,"comprehension",76,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193371,82610,8,"comprehension",23,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193394,82633,8,"comprehension",8,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193397,82636,8,"comprehension",4,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193401,82640,8,"comprehension",75,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193410,82649,8,"comprehension",2,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193421,82660,8,"comprehension",7,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193423,82662,8,"comprehension",5,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193425,82664,8,"comprehension",263,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193427,82666,8,"comprehension",50,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193439,82678,8,"comprehension",3,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193446,82685,8,"comprehension",41,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193453,82692,8,"comprehension",14,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193454,82693,8,"comprehension",12,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193455,82694,8,"comprehension",13,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193458,82697,8,"comprehension",396,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193475,82714,8,"comprehension",0,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193477,82716,8,"comprehension",64,3676,TRUE,TRUE,TRUE
2023-11-30,"English (American)","WG","WG",193487,82726,8,"comprehension",41,3676,TRUE,TRUE,TRUE
